hour,arb_c,arb_d,reg,reg_bd,reg_bc,reg_ad,reg_ac,J,soc,lmp_rev,rmccp_rev,rmmcp_rev,total_revenue
58,-100.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.75,-2284.9928,-0.0,-0.0,-2284.9928
59,0.0,0.0,100.0,100.0,0.0,0.0,0.0,-5.2449087574881806e-15,0.75,0.0,5130.825,2173.5,7304.325
60,0.0,0.0,99.99999999999996,100.0,-2.8421709430404014e-14,0.0,-1.4210854715202004e-14,-1.9455763472690184e-14,0.75,0.0,3968.794999999999,2101.0499999999997,6069.844999999998
61,0.0,0.0,100.0,99.99999999999996,4.263256414560601e-14,0.0,5.244908757488181e-15,-1.4210854715202004e-14,0.7500000000000001,0.0,3385.2425000000003,2101.05,5486.2925000000005
62,0.0,0.0,100.0,100.0,-1.4210854715202004e-14,0.0,-6.378644969212027e-15,0.0,0.7500000000000001,0.0,6233.824166666667,1355.925,7589.749166666667
63,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7500000000000001,0.0,4516.3150000000005,1318.05,5834.365000000001
64,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7500000000000001,0.0,6772.0791666666655,374.6249999999999,7146.7041666666655
65,0.0,13.422906181490704,86.5770938185093,86.5770938185093,0.0,84.85937316535284,0.0,84.85937316535284,0.5042943016328914,9381.0733705801,406716.7903473994,1062.690538075292,417160.5542560548
66,0.0,0.0,-7.105427357601003e-14,15.14062683464716,-15.140626834647232,0.0,-10.799166960126453,74.06020620522638,0.3191437861198254,0.0,-1.4523475755368049e-11,-1.5347723092418168e-12,-1.6058248064609867e-11
67,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06020620522638,0.3839932706067595,-4295.1282,0.0,0.0,-4295.1282
68,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0602062052264,0.4488427550936934,-3689.7392,0.0,0.0,-3689.7392
69,-0.0,0.0,0.0,25.939793794773603,-25.939793794773603,0.0,-10.395139417748071,63.66506678747832,0.2896800881249975,0.0,0.0,0.0,0.0
70,-0.0,0.0,0.0,36.33493321252168,-36.33493321252168,0.0,-15.243676933910772,48.42138985356752,0.1686266134910788,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,51.57861014643248,-51.57861014643248,0.0,-20.970744457136,27.45064539643153,0.1,0.0,0.0,0.0,0.0
