hour,2025Q1,2025Q2,2025Q3,2025Q4
0,85262.63331808466,69887.77070384615,79250.21808736825,76732.90868405797
1,86785.39158222222,70176.2802120879,78832.56172998188,77886.01033785407
2,90340.59377115603,72376.76200943225,80512.89435368082,81073.17964547103
3,95839.66552020032,76097.34744981685,83867.11165254445,86275.78426398222
4,99513.59885114121,78291.28481263737,86369.89558695651,89970.21082826087
5,98030.75053127776,78278.07057992008,87192.36096005433,88986.97442934784
6,93779.98696813133,78372.12366936156,88697.81877001809,85699.69636086957
7,90547.57886587965,79106.01055184648,91886.05637871377,83822.94279375824
8,88147.35935558079,79988.42916610652,95587.53781331523,82755.04580763887
9,86269.21413101853,81080.5506231685,99407.4376841486,82155.21648505433
10,85014.03524971381,82320.07374068987,103204.74435643118,82115.75906879941
11,84267.92486892256,83540.55732508324,106266.7079182065,82419.57294034914
12,84804.89187064668,84910.25420677655,108895.16440152968,84272.57485597827
13,88887.49681598989,87016.02296929735,111283.11195707628,88722.0918522645
14,94613.09054206173,89414.3713445055,113484.57094101612,93698.49169221017
15,98579.30391816664,91428.79177454216,114654.2122223732,95434.27734067026
16,99681.91604486774,93286.70595218115,114655.26669841896,94877.09478115942
17,99247.60371455793,93951.63877582418,112427.53660452897,93324.17144294872
18,96755.31387822222,91817.82834258239,107766.78665155676,90462.86816163003
19,93158.29115660861,86781.51880569597,101043.7357731685,86593.49877884617
20,89613.66971044413,81246.606742674,94152.0035370471,82743.58020119045
21,87022.37875059259,76645.70188356643,88280.8225509964,79740.51665364469
22,85555.96257657406,73386.81364459709,83950.20733981389,77979.63449512627
23,84992.13643122978,71270.10086694137,80928.55196096015,76977.1840120879
